Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
27,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35-184,1987,17,17,1530,17.0,35,2.06,87,52,60.9,3,4,10,2,11.8,1,1,0,0,0.0,2434f24a
28,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30-237,1992,11,11,990,11.0,12,1.09,42,30,78.6,9,1,1,1,9.1,3,3,0,0,0.0,1840e36d
29,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-192,1996,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,477e50ce
30,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-160,1997,15,15,1350,15.0,22,1.47,59,38,62.7,5,1,9,5,33.3,0,0,0,0,,4e0c8d66
31,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-195,1993,17,17,1530,17.0,25,1.47,84,57,77.4,6,4,7,4,23.5,8,6,2,0,25.0,f41a69e6
32,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-009,1993,14,14,1260,14.0,15,1.07,51,37,76.5,6,5,3,5,35.7,3,3,0,0,0.0,fc70e345
33,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-048,1999,10,10,900,10.0,9,0.90,51,42,82.4,3,6,1,4,40.0,0,0,0,0,,eedea60b
34,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,30-344,1992,3,2,225,2.5,3,1.20,14,11,78.6,0,1,1,0,0.0,0,0,0,0,,ac295d9e
35,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,23-312,1999,17,17,1530,17.0,13,0.76,61,48,78.7,14,2,1,9,52.9,1,0,1,0,100.0,08f5afaa
36,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,25-137,1997,14,14,1212,13.5,25,1.86,78,53,67.9,2,3,8,1,7.1,1,0,0,1,,085e71a7
37,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,29-305,1993,17,17,1530,17.0,33,1.94,93,58,66.7,5,4,8,3,17.6,5,2,3,0,60.0,0e12089d
38,Ederson,br BRA,GK,Manchester City,eng Premier League,29-139,1993,16,16,1440,16.0,16,1.00,40,25,65.0,11,3,2,6,37.5,2,2,0,0,0.0,3bb7b8b4
39,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37-260,1985,17,17,1423,15.8,20,1.26,69,49,72.5,4,2,9,3,17.6,2,1,1,0,50.0,9328b835
40,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,27-266,1995,15,15,1350,15.0,17,1.13,67,51,79.1,3,6,6,1,6.7,3,3,0,0,0.0,9f5a610b
41,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,31-245,1991,5,5,450,5.0,5,1.00,15,10,66.7,3,0,2,2,40.0,0,0,0,0,,a01c3d54
